"id","id_creator_fk","createdon","id_ref_trash_type_fk","id_ref_images_for_labelling","location_x","location_y","width","height"
"47ff3b15-dc95-4efa-ad3d-b6963db3ef16","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-06-03 14:10:37,10,"744093fe-3112-4577-abf9-6ec24fa1d66e",1934,1284,234,239
"94164dac-8b99-4fa3-9309-cd6ccbbe855e","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-06-03 15:35:30,10,"9711e35b-67c3-4e76-a5e3-2f7a7204be79",1489,2330,152,162
"87bcd5d8-c2ac-472e-acd6-8114dcfe5a4a","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-06-03 15:37:31,1,"3bf07139-1e2a-4bba-83ea-86a964e26f05",4033,2026,480,392
f52af6e9-15c4-4916-8f4f-3ffda09ada98,"954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-06-03 15:41:04,1,b910e724-2a08-4dc7-ab2b-52276b7d9aed,2053,1304,143,167
"7106288f-7cfd-4f73-9771-6a6b838e5460","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-06-03 15:43:53,3,"36267cf1-891c-4b72-857d-802fa2a3fd04",1603,1431,247,284
c070de0b-1e21-4563-8bec-ee39230b36b0,"954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-06-03 15:45:24,1,"4334fad2-e671-4303-aa42-73da5df23605",1090,1670,452,332
"79d6831d-d812-4f1f-8ae6-d0b0279f8aa7","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-06-03 15:46:19,9,"85907ea5-4910-43c9-9acc-9a799222d5f3",2766,1135,252,154
d60835cb-38eb-47b9-b336-e1e985b9b80b,"954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-06-03 15:51:31,1,"422a78fd-47f1-4f6c-828a-58e5fb8031d2",1686,1522,428,418
"95203315-2ff4-4c8e-b037-07fd5e7d2e86","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-06-03 15:55:44,1,"3f93dc94-ca3f-47dd-a8b8-6aa324999c1a",1025,1956,300,289
"95dffb05-b07d-4c75-a432-d01dcc55003f","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-06-03 15:59:19,4,"1fe7a7e2-fed7-4399-8595-673e07853b1f",851,1727,747,698
