"id","id_creator_fk","createdon","filename","view","image_quality","context","container_url","blob_name"
"774ea7c1-e8ed-4fae-81fd-784c3ce87365","91f946b6-8871-4fbb-8c00-1b6794efb610",2021-05-19 08:56:51,"04a90fd6-dbe8-4e35-bc8e-8bdea63bb77d.jpg","","","",https://dataplasticoprod.blob.core.windows.net/images2label/daeb9128-a666-4068-8efe-ff3db564ed3c.jpg,
"5ec8e4a4-d2e9-4d03-99ed-12e2744ca5ae","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:15:17,img3316.jpg,side,good,river,"",""
"4aa4b452-ce49-4578-a71b-39d99c305e59","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:15:40,img630.jpg,above,good,river,"",""
ed5d193b-c897-4ebb-9d2d-e1583653923e,"954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:14:53,img2387.jpg,side,good,river,"",""
f76656ed-bd4c-4672-b2c0-bc7ddaba2ba3,"954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:14:59,img2611.jpg,side,medium,river,"",""
"78e1a1ed-5d79-4071-8a31-835a31c26d18","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:15:31,img3894.jpg,side,medium,river,"",""
"2247af7a-e86c-48d5-87f9-9cbebba073da","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:15:13,img3148.JPG,above,good,underwater,"",""
"0519ff01-754d-41ae-8748-f09af50c7ae6","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:15:38,img548.jpg,above,good,river,"",""
"5f029ac2-17a7-42cc-a5c0-52eae06745d1","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:14:17,img(83).jpeg,side,good,river,"",""
"1fc7ecfb-5705-48dc-abac-2b52e6fa2ed5","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:14:47,img2156.JPG,side,good,nature,"",""
"070342c2-5fb5-40f6-a9ff-8db2f5ac7777","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:15:13,img3172.JPG,side,good,underwater,"",""
"73e32d90-abe2-4a1f-8857-4d4c091cdfd6","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:15:17,img3307.jpg,side,good,river,"",""
b1175da9-1180-4f65-828a-9052fd64ec64,"954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:14:33,img1602.jpg,side,good,river,"",""
aa51b47b-3320-4b1a-b199-71e90b495863,"954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:14:50,img2240.JPG,above,medium,river,"",""
"9fb15bc4-916a-4a92-8a87-54669b8d0f82","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:15:48,img95.jpg,above,medium,nature,"",""
d0752228-f1a5-4f50-b10b-3cde59886a15,"954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:14:23,img1187.jpg,above,medium,nature,"",""
"54e58142-345d-4f17-b334-d4d75c969615","954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:15:29,img3788.jpg,side,bad,river,"",""
a041cce8-0264-4bfd-ba24-f8fb759e3d3f,"771eccaa-806a-4557-a669-d1e75e2f565f",2021-07-07 11:47:01,f3ed2231-7a09-4c7d-acb7-bd23c087e865(2).jpg,"","","",https://dataplasticoprod.blob.core.windows.net/images2label/f3ed2231-7a09-4c7d-acb7-bd23c087e865(2).jpg,
d33fe9b0-b106-4b9f-9874-f3ce04544cfc,"771eccaa-806a-4557-a669-d1e75e2f565f",2021-07-07 11:47:04,f3ed2231-7a09-4c7d-acb7-bd23c087e865(3).jpg,side,good,river,https://dataplasticoprod.blob.core.windows.net/images2label/f3ed2231-7a09-4c7d-acb7-bd23c087e865(3).jpg,
a4a55707-3397-418f-a729-ef18e549a7ea,"954dfaf0-cf84-4e5d-ad9d-0d0d6badb884",2021-05-27 12:14:49,img2216.JPG,side,good,nature,"",""
