               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11057,            0.024296,            0.062452,             0.80515,           0.0052326,           0.0014392,          0.00034372,            0.093262,            0.022967,            0.052548,           0.0032768,           0.0032768,            0.070508
                   1,            0.081621,            0.022745,            0.049284,             0.25122,             0.14824,            0.020466,            0.005984,            0.080462,            0.021856,            0.047861,           0.0064119,           0.0064119,             0.04031
                   2,             0.07637,              0.0189,            0.045815,             0.25735,             0.12579,            0.028516,           0.0074703,            0.079373,            0.018855,            0.046172,           0.0093469,           0.0093469,           0.0099119
                   3,            0.070425,            0.018374,            0.043601,             0.14033,             0.22115,            0.041158,              0.0131,            0.074873,            0.018852,            0.044617,              0.0091,              0.0091,              0.0091
                   4,            0.067229,            0.016817,            0.041662,             0.56262,            0.064739,            0.043952,            0.015389,            0.073155,            0.017298,            0.046201,              0.0091,              0.0091,              0.0091
                   5,            0.065266,            0.017117,            0.041925,             0.55745,            0.070916,            0.035181,           0.0098479,            0.072055,             0.01771,            0.044373,              0.0088,              0.0088,              0.0088
                   6,             0.06252,            0.016836,            0.041025,            0.051675,             0.22205,            0.048282,            0.014548,            0.069946,            0.018952,            0.044259,              0.0085,              0.0085,              0.0085
                   7,            0.062029,             0.01632,            0.040176,              0.5324,             0.13832,            0.047817,            0.016855,            0.068817,            0.018078,            0.043748,              0.0082,              0.0082,              0.0082
                   8,             0.06035,            0.016442,            0.039059,             0.23541,             0.22946,            0.048481,            0.019602,            0.067558,            0.017332,            0.041621,              0.0079,              0.0079,              0.0079
                   9,            0.060812,            0.016282,            0.038059,             0.58088,             0.10653,            0.053186,            0.020765,            0.067325,            0.016557,            0.043269,              0.0076,              0.0076,              0.0076
                  10,            0.058967,            0.016266,            0.037873,             0.56171,             0.11379,            0.062093,            0.020265,            0.066954,            0.016256,            0.042814,              0.0073,              0.0073,              0.0073
                  11,            0.057831,            0.016167,            0.037124,             0.44231,             0.13045,             0.04946,            0.018185,            0.067273,            0.017842,            0.044176,               0.007,               0.007,               0.007
                  12,             0.05775,            0.015871,            0.036422,             0.36766,              0.2178,            0.071231,            0.026434,            0.067034,            0.016999,            0.042813,              0.0067,              0.0067,              0.0067
                  13,            0.056913,            0.015612,             0.03566,              0.2439,             0.18245,            0.056659,            0.022436,            0.067873,              0.0168,            0.044577,              0.0064,              0.0064,              0.0064
                  14,            0.056008,             0.01593,            0.033095,             0.28291,             0.20645,            0.075622,             0.02961,            0.066293,            0.016406,             0.04237,              0.0061,              0.0061,              0.0061
                  15,             0.05498,            0.015705,            0.032829,             0.46757,             0.14231,            0.062663,            0.023771,            0.066292,            0.017269,            0.043756,              0.0058,              0.0058,              0.0058
                  16,             0.05472,            0.015296,            0.032338,             0.50538,             0.12739,            0.070697,            0.029605,            0.067007,             0.01702,            0.043937,              0.0055,              0.0055,              0.0055
                  17,            0.052957,            0.014886,            0.032088,             0.49066,             0.13252,            0.069804,            0.027518,            0.066915,            0.017269,            0.043966,              0.0052,              0.0052,              0.0052
                  18,            0.051249,            0.014544,             0.03067,            0.046344,             0.25107,            0.067241,            0.026314,            0.068356,             0.01683,            0.046296,              0.0049,              0.0049,              0.0049
                  19,            0.052879,            0.014787,            0.029225,              0.5665,             0.11118,            0.083319,            0.038363,            0.067111,            0.016573,            0.044632,              0.0046,              0.0046,              0.0046
                  20,            0.051292,            0.014674,            0.029289,             0.48605,             0.13677,            0.063741,            0.024024,             0.06771,            0.016859,             0.04633,              0.0043,              0.0043,              0.0043
                  21,            0.050289,            0.014094,            0.029329,              0.1681,             0.20142,            0.076261,            0.030188,            0.065238,            0.016949,            0.046076,               0.004,               0.004,               0.004
                  22,            0.049088,            0.014214,            0.027462,             0.39446,             0.17981,            0.076034,            0.032928,            0.064758,            0.016887,            0.046662,              0.0037,              0.0037,              0.0037
                  23,             0.04867,            0.014342,            0.026153,             0.48394,             0.16697,             0.09095,             0.03893,             0.06634,             0.01683,            0.044245,              0.0034,              0.0034,              0.0034
                  24,            0.048087,            0.013849,            0.026431,             0.16814,             0.24568,            0.081096,            0.032381,            0.065994,            0.017042,            0.046061,              0.0031,              0.0031,              0.0031
                  25,            0.046941,            0.013468,            0.024737,             0.17678,             0.27347,            0.093524,            0.038164,            0.065685,            0.017188,            0.043987,              0.0028,              0.0028,              0.0028
                  26,            0.046905,            0.013569,            0.023571,             0.26247,             0.26712,             0.13967,            0.058817,            0.065886,            0.016462,            0.045416,              0.0025,              0.0025,              0.0025
                  27,             0.04693,            0.013851,            0.023818,             0.42436,             0.14082,            0.085272,            0.036009,            0.065896,             0.01681,            0.047412,              0.0022,              0.0022,              0.0022
                  28,            0.045655,            0.013194,            0.021493,             0.20004,             0.24001,            0.092372,            0.035958,            0.066205,            0.017274,            0.047382,              0.0019,              0.0019,              0.0019
                  29,            0.044054,            0.013022,              0.0222,             0.18935,              0.2707,            0.096873,            0.036027,            0.066392,            0.017005,             0.04626,              0.0016,              0.0016,              0.0016
